epoch,batch_idx,dataset,model_name,clipping,max_grad_norm,cosine,seed,morphology,retinal_layer_wise
1,3,LungInfection,Inf_Net,automatic,1.2,0.9863313436508179,1,True,False
2,3,LungInfection,Inf_Net,automatic,1.2,0.9622653722763062,1,True,False
3,3,LungInfection,Inf_Net,automatic,1.2,0.971992015838623,1,True,False
4,3,LungInfection,Inf_Net,automatic,1.2,0.9927234649658203,1,True,False
5,3,LungInfection,Inf_Net,automatic,1.2,0.9796825051307678,1,True,False
6,3,LungInfection,Inf_Net,automatic,1.2,0.9852293729782104,1,True,False
7,3,LungInfection,Inf_Net,automatic,1.2,0.9888674020767212,1,True,False
8,3,LungInfection,Inf_Net,automatic,1.2,0.996282696723938,1,True,False
9,3,LungInfection,Inf_Net,automatic,1.2,0.9951251745223999,1,True,False
10,3,LungInfection,Inf_Net,automatic,1.2,0.9899293184280396,1,True,False
11,3,LungInfection,Inf_Net,automatic,1.2,0.9696352481842041,1,True,False
12,3,LungInfection,Inf_Net,automatic,1.2,0.986787736415863,1,True,False
13,3,LungInfection,Inf_Net,automatic,1.2,0.987945556640625,1,True,False
14,3,LungInfection,Inf_Net,automatic,1.2,0.9784655570983887,1,True,False
15,3,LungInfection,Inf_Net,automatic,1.2,0.9780381917953491,1,True,False
16,3,LungInfection,Inf_Net,automatic,1.2,0.9841439723968506,1,True,False
17,3,LungInfection,Inf_Net,automatic,1.2,0.9873620271682739,1,True,False
18,3,LungInfection,Inf_Net,automatic,1.2,0.9912415742874146,1,True,False
19,3,LungInfection,Inf_Net,automatic,1.2,0.9918841123580933,1,True,False
20,3,LungInfection,Inf_Net,automatic,1.2,0.9814669489860535,1,True,False
21,3,LungInfection,Inf_Net,automatic,1.2,0.9727312922477722,1,True,False
22,3,LungInfection,Inf_Net,automatic,1.2,0.9713094234466553,1,True,False
23,3,LungInfection,Inf_Net,automatic,1.2,0.9855870604515076,1,True,False
24,3,LungInfection,Inf_Net,automatic,1.2,0.9751743078231812,1,True,False
25,3,LungInfection,Inf_Net,automatic,1.2,0.9831370711326599,1,True,False
26,3,LungInfection,Inf_Net,automatic,1.2,0.9698948860168457,1,True,False
27,3,LungInfection,Inf_Net,automatic,1.2,0.9666706323623657,1,True,False
28,3,LungInfection,Inf_Net,automatic,1.2,0.9758931994438171,1,True,False
29,3,LungInfection,Inf_Net,automatic,1.2,0.9865967035293579,1,True,False
30,3,LungInfection,Inf_Net,automatic,1.2,0.9745346903800964,1,True,False
31,3,LungInfection,Inf_Net,automatic,1.2,0.9651678800582886,1,True,False
32,3,LungInfection,Inf_Net,automatic,1.2,0.9436817765235901,1,True,False
33,3,LungInfection,Inf_Net,automatic,1.2,0.9776982069015503,1,True,False
34,3,LungInfection,Inf_Net,automatic,1.2,0.9662315845489502,1,True,False
35,3,LungInfection,Inf_Net,automatic,1.2,0.9725748300552368,1,True,False
36,3,LungInfection,Inf_Net,automatic,1.2,0.947638750076294,1,True,False
37,3,LungInfection,Inf_Net,automatic,1.2,0.9667922258377075,1,True,False
38,3,LungInfection,Inf_Net,automatic,1.2,0.9237532615661621,1,True,False
39,3,LungInfection,Inf_Net,automatic,1.2,0.9595242738723755,1,True,False
40,3,LungInfection,Inf_Net,automatic,1.2,0.9676701426506042,1,True,False
41,3,LungInfection,Inf_Net,automatic,1.2,0.9806655645370483,1,True,False
42,3,LungInfection,Inf_Net,automatic,1.2,0.9789174199104309,1,True,False
43,3,LungInfection,Inf_Net,automatic,1.2,0.9401742219924927,1,True,False
44,3,LungInfection,Inf_Net,automatic,1.2,0.9904041290283203,1,True,False
45,3,LungInfection,Inf_Net,automatic,1.2,0.9691405892372131,1,True,False
46,3,LungInfection,Inf_Net,automatic,1.2,0.9269120097160339,1,True,False
47,3,LungInfection,Inf_Net,automatic,1.2,0.9593633413314819,1,True,False
48,3,LungInfection,Inf_Net,automatic,1.2,0.9630596041679382,1,True,False
49,3,LungInfection,Inf_Net,automatic,1.2,0.9717991352081299,1,True,False
50,3,LungInfection,Inf_Net,automatic,1.2,0.9170264005661011,1,True,False
51,3,LungInfection,Inf_Net,automatic,1.2,0.9403010606765747,1,True,False
52,3,LungInfection,Inf_Net,automatic,1.2,0.9010001420974731,1,True,False
53,3,LungInfection,Inf_Net,automatic,1.2,0.9477097988128662,1,True,False
54,3,LungInfection,Inf_Net,automatic,1.2,0.9236379861831665,1,True,False
55,3,LungInfection,Inf_Net,automatic,1.2,0.9564543962478638,1,True,False
56,3,LungInfection,Inf_Net,automatic,1.2,0.9495092630386353,1,True,False
57,3,LungInfection,Inf_Net,automatic,1.2,0.9503449201583862,1,True,False
58,3,LungInfection,Inf_Net,automatic,1.2,0.9540144205093384,1,True,False
59,3,LungInfection,Inf_Net,automatic,1.2,0.9699236750602722,1,True,False
60,3,LungInfection,Inf_Net,automatic,1.2,0.9608821272850037,1,True,False
61,3,LungInfection,Inf_Net,automatic,1.2,0.9473143815994263,1,True,False
62,3,LungInfection,Inf_Net,automatic,1.2,0.9627086520195007,1,True,False
63,3,LungInfection,Inf_Net,automatic,1.2,0.9523385763168335,1,True,False
64,3,LungInfection,Inf_Net,automatic,1.2,0.9625252485275269,1,True,False
65,3,LungInfection,Inf_Net,automatic,1.2,0.9796090126037598,1,True,False
66,3,LungInfection,Inf_Net,automatic,1.2,0.9690072536468506,1,True,False
67,3,LungInfection,Inf_Net,automatic,1.2,0.9593498706817627,1,True,False
68,3,LungInfection,Inf_Net,automatic,1.2,0.9672665596008301,1,True,False
69,3,LungInfection,Inf_Net,automatic,1.2,0.9649507999420166,1,True,False
70,3,LungInfection,Inf_Net,automatic,1.2,0.9294694662094116,1,True,False
