epoch,batch_idx,dataset,model_name,clipping,max_grad_norm,cosine,seed,morphology,retinal_layer_wise
1,3,LungInfection,Inf_Net,flat,1.2,0.9804327487945557,1,False,False
2,3,LungInfection,Inf_Net,flat,1.2,0.9732426404953003,1,False,False
3,3,LungInfection,Inf_Net,flat,1.2,0.976704478263855,1,False,False
4,3,LungInfection,Inf_Net,flat,1.2,0.9890396595001221,1,False,False
5,3,LungInfection,Inf_Net,flat,1.2,0.9736081957817078,1,False,False
6,3,LungInfection,Inf_Net,flat,1.2,0.9801331758499146,1,False,False
7,3,LungInfection,Inf_Net,flat,1.2,0.9615284204483032,1,False,False
8,3,LungInfection,Inf_Net,flat,1.2,0.9830913543701172,1,False,False
9,3,LungInfection,Inf_Net,flat,1.2,0.9866398572921753,1,False,False
10,3,LungInfection,Inf_Net,flat,1.2,0.9799331426620483,1,False,False
11,3,LungInfection,Inf_Net,flat,1.2,0.9910358786582947,1,False,False
12,3,LungInfection,Inf_Net,flat,1.2,0.9855341911315918,1,False,False
13,3,LungInfection,Inf_Net,flat,1.2,0.9671100974082947,1,False,False
14,3,LungInfection,Inf_Net,flat,1.2,0.9712105989456177,1,False,False
15,3,LungInfection,Inf_Net,flat,1.2,0.9848320484161377,1,False,False
16,3,LungInfection,Inf_Net,flat,1.2,0.9544286727905273,1,False,False
17,3,LungInfection,Inf_Net,flat,1.2,0.9880090951919556,1,False,False
18,3,LungInfection,Inf_Net,flat,1.2,0.9625481367111206,1,False,False
19,3,LungInfection,Inf_Net,flat,1.2,0.9777801036834717,1,False,False
20,3,LungInfection,Inf_Net,flat,1.2,0.9490906000137329,1,False,False
21,3,LungInfection,Inf_Net,flat,1.2,0.9514061212539673,1,False,False
22,3,LungInfection,Inf_Net,flat,1.2,0.9821842312812805,1,False,False
23,3,LungInfection,Inf_Net,flat,1.2,0.9181724786758423,1,False,False
24,3,LungInfection,Inf_Net,flat,1.2,0.9165980815887451,1,False,False
25,3,LungInfection,Inf_Net,flat,1.2,0.948872447013855,1,False,False
26,3,LungInfection,Inf_Net,flat,1.2,0.965961754322052,1,False,False
27,3,LungInfection,Inf_Net,flat,1.2,0.9305904507637024,1,False,False
28,3,LungInfection,Inf_Net,flat,1.2,0.9659989476203918,1,False,False
29,3,LungInfection,Inf_Net,flat,1.2,0.9414380788803101,1,False,False
30,3,LungInfection,Inf_Net,flat,1.2,0.9148014783859253,1,False,False
31,3,LungInfection,Inf_Net,flat,1.2,0.92186039686203,1,False,False
32,3,LungInfection,Inf_Net,flat,1.2,0.9226093292236328,1,False,False
33,3,LungInfection,Inf_Net,flat,1.2,0.9204975366592407,1,False,False
34,3,LungInfection,Inf_Net,flat,1.2,0.9408342838287354,1,False,False
35,3,LungInfection,Inf_Net,flat,1.2,0.8755398988723755,1,False,False
36,3,LungInfection,Inf_Net,flat,1.2,0.9650967121124268,1,False,False
37,3,LungInfection,Inf_Net,flat,1.2,0.898324191570282,1,False,False
38,3,LungInfection,Inf_Net,flat,1.2,0.9409681558609009,1,False,False
39,3,LungInfection,Inf_Net,flat,1.2,0.9155768156051636,1,False,False
40,3,LungInfection,Inf_Net,flat,1.2,0.9495930671691895,1,False,False
41,3,LungInfection,Inf_Net,flat,1.2,0.918390154838562,1,False,False
42,3,LungInfection,Inf_Net,flat,1.2,0.9682027101516724,1,False,False
43,3,LungInfection,Inf_Net,flat,1.2,0.9286475777626038,1,False,False
44,3,LungInfection,Inf_Net,flat,1.2,0.8867326974868774,1,False,False
45,3,LungInfection,Inf_Net,flat,1.2,0.9410756826400757,1,False,False
46,3,LungInfection,Inf_Net,flat,1.2,0.9478045105934143,1,False,False
47,3,LungInfection,Inf_Net,flat,1.2,0.820942223072052,1,False,False
48,3,LungInfection,Inf_Net,flat,1.2,0.9296945929527283,1,False,False
49,3,LungInfection,Inf_Net,flat,1.2,0.9124026894569397,1,False,False
50,3,LungInfection,Inf_Net,flat,1.2,0.8775415420532227,1,False,False
51,3,LungInfection,Inf_Net,flat,1.2,0.9226915836334229,1,False,False
52,3,LungInfection,Inf_Net,flat,1.2,0.8886800408363342,1,False,False
53,3,LungInfection,Inf_Net,flat,1.2,0.879192054271698,1,False,False
54,3,LungInfection,Inf_Net,flat,1.2,0.9360780715942383,1,False,False
55,3,LungInfection,Inf_Net,flat,1.2,0.8948081731796265,1,False,False
56,3,LungInfection,Inf_Net,flat,1.2,0.9444882273674011,1,False,False
57,3,LungInfection,Inf_Net,flat,1.2,0.837646484375,1,False,False
58,3,LungInfection,Inf_Net,flat,1.2,0.9231194853782654,1,False,False
59,3,LungInfection,Inf_Net,flat,1.2,0.915842592716217,1,False,False
60,3,LungInfection,Inf_Net,flat,1.2,0.9089609980583191,1,False,False
61,3,LungInfection,Inf_Net,flat,1.2,0.9116922616958618,1,False,False
62,3,LungInfection,Inf_Net,flat,1.2,0.8209660053253174,1,False,False
63,3,LungInfection,Inf_Net,flat,1.2,0.8474541902542114,1,False,False
64,3,LungInfection,Inf_Net,flat,1.2,0.8735072016716003,1,False,False
65,3,LungInfection,Inf_Net,flat,1.2,0.891552746295929,1,False,False
66,3,LungInfection,Inf_Net,flat,1.2,0.9432820081710815,1,False,False
67,3,LungInfection,Inf_Net,flat,1.2,0.8287315368652344,1,False,False
68,3,LungInfection,Inf_Net,flat,1.2,0.939580500125885,1,False,False
69,3,LungInfection,Inf_Net,flat,1.2,0.9269485473632812,1,False,False
70,3,LungInfection,Inf_Net,flat,1.2,0.8662596940994263,1,False,False
