epoch,batch_idx,dataset,model_name,clipping,max_grad_norm,cosine,seed,morphology,retinal_layer_wise
1,3,LungInfection,Inf_Net,flat,1.2,0.9315874576568604,1,True,False
2,3,LungInfection,Inf_Net,flat,1.2,0.9742352962493896,1,True,False
3,3,LungInfection,Inf_Net,flat,1.2,0.919890284538269,1,True,False
4,3,LungInfection,Inf_Net,flat,1.2,0.9570659399032593,1,True,False
5,3,LungInfection,Inf_Net,flat,1.2,0.953180193901062,1,True,False
6,3,LungInfection,Inf_Net,flat,1.2,0.9353147745132446,1,True,False
7,3,LungInfection,Inf_Net,flat,1.2,0.9911231398582458,1,True,False
8,3,LungInfection,Inf_Net,flat,1.2,0.970791220664978,1,True,False
9,3,LungInfection,Inf_Net,flat,1.2,0.9477627277374268,1,True,False
10,3,LungInfection,Inf_Net,flat,1.2,0.9164561033248901,1,True,False
11,3,LungInfection,Inf_Net,flat,1.2,0.9500541687011719,1,True,False
12,3,LungInfection,Inf_Net,flat,1.2,0.9480156898498535,1,True,False
13,3,LungInfection,Inf_Net,flat,1.2,0.9882131814956665,1,True,False
14,3,LungInfection,Inf_Net,flat,1.2,0.9916077852249146,1,True,False
15,3,LungInfection,Inf_Net,flat,1.2,0.9606608152389526,1,True,False
16,3,LungInfection,Inf_Net,flat,1.2,0.9263350367546082,1,True,False
17,3,LungInfection,Inf_Net,flat,1.2,0.9374417066574097,1,True,False
18,3,LungInfection,Inf_Net,flat,1.2,0.9318149089813232,1,True,False
19,3,LungInfection,Inf_Net,flat,1.2,0.9751207828521729,1,True,False
20,3,LungInfection,Inf_Net,flat,1.2,0.9856580495834351,1,True,False
21,3,LungInfection,Inf_Net,flat,1.2,0.9604613184928894,1,True,False
22,3,LungInfection,Inf_Net,flat,1.2,0.9285558462142944,1,True,False
23,3,LungInfection,Inf_Net,flat,1.2,0.9649626016616821,1,True,False
24,3,LungInfection,Inf_Net,flat,1.2,0.9793717861175537,1,True,False
25,3,LungInfection,Inf_Net,flat,1.2,0.9724162220954895,1,True,False
26,3,LungInfection,Inf_Net,flat,1.2,0.989022433757782,1,True,False
27,3,LungInfection,Inf_Net,flat,1.2,0.9668793678283691,1,True,False
28,3,LungInfection,Inf_Net,flat,1.2,0.9480250477790833,1,True,False
29,3,LungInfection,Inf_Net,flat,1.2,0.9765815138816833,1,True,False
30,3,LungInfection,Inf_Net,flat,1.2,0.933383584022522,1,True,False
31,3,LungInfection,Inf_Net,flat,1.2,0.9834214448928833,1,True,False
32,3,LungInfection,Inf_Net,flat,1.2,0.9926892518997192,1,True,False
33,3,LungInfection,Inf_Net,flat,1.2,0.9430879950523376,1,True,False
34,3,LungInfection,Inf_Net,flat,1.2,0.9033931493759155,1,True,False
35,3,LungInfection,Inf_Net,flat,1.2,0.9403856992721558,1,True,False
36,3,LungInfection,Inf_Net,flat,1.2,0.9257085919380188,1,True,False
37,3,LungInfection,Inf_Net,flat,1.2,0.9345264434814453,1,True,False
38,3,LungInfection,Inf_Net,flat,1.2,0.9868748188018799,1,True,False
39,3,LungInfection,Inf_Net,flat,1.2,0.9679981470108032,1,True,False
40,3,LungInfection,Inf_Net,flat,1.2,0.9358392357826233,1,True,False
41,3,LungInfection,Inf_Net,flat,1.2,0.957800030708313,1,True,False
42,3,LungInfection,Inf_Net,flat,1.2,0.9438384771347046,1,True,False
43,3,LungInfection,Inf_Net,flat,1.2,0.9196987152099609,1,True,False
44,3,LungInfection,Inf_Net,flat,1.2,0.9456355571746826,1,True,False
45,3,LungInfection,Inf_Net,flat,1.2,0.988609790802002,1,True,False
46,3,LungInfection,Inf_Net,flat,1.2,0.8219578266143799,1,True,False
47,3,LungInfection,Inf_Net,flat,1.2,0.9156367778778076,1,True,False
48,3,LungInfection,Inf_Net,flat,1.2,0.8491247296333313,1,True,False
49,3,LungInfection,Inf_Net,flat,1.2,0.9492630958557129,1,True,False
50,3,LungInfection,Inf_Net,flat,1.2,0.9049672484397888,1,True,False
51,3,LungInfection,Inf_Net,flat,1.2,0.8909243941307068,1,True,False
52,3,LungInfection,Inf_Net,flat,1.2,0.965003252029419,1,True,False
53,3,LungInfection,Inf_Net,flat,1.2,0.940988302230835,1,True,False
54,3,LungInfection,Inf_Net,flat,1.2,0.8821052312850952,1,True,False
55,3,LungInfection,Inf_Net,flat,1.2,0.9542812705039978,1,True,False
56,3,LungInfection,Inf_Net,flat,1.2,0.9442135691642761,1,True,False
57,3,LungInfection,Inf_Net,flat,1.2,0.8800617456436157,1,True,False
58,3,LungInfection,Inf_Net,flat,1.2,0.9557867050170898,1,True,False
59,3,LungInfection,Inf_Net,flat,1.2,0.9361158013343811,1,True,False
60,3,LungInfection,Inf_Net,flat,1.2,0.8741626143455505,1,True,False
61,3,LungInfection,Inf_Net,flat,1.2,0.8927879333496094,1,True,False
62,3,LungInfection,Inf_Net,flat,1.2,0.8767915964126587,1,True,False
63,3,LungInfection,Inf_Net,flat,1.2,0.8978022933006287,1,True,False
64,3,LungInfection,Inf_Net,flat,1.2,0.9216728210449219,1,True,False
65,3,LungInfection,Inf_Net,flat,1.2,0.9541686773300171,1,True,False
66,3,LungInfection,Inf_Net,flat,1.2,0.9088085889816284,1,True,False
67,3,LungInfection,Inf_Net,flat,1.2,0.856106162071228,1,True,False
68,3,LungInfection,Inf_Net,flat,1.2,0.9690958261489868,1,True,False
69,3,LungInfection,Inf_Net,flat,1.2,0.9748760461807251,1,True,False
70,3,LungInfection,Inf_Net,flat,1.2,0.9542519450187683,1,True,False
