epoch,batch_idx,dataset,model_name,clipping,max_grad_norm,cosine,seed,morphology,retinal_layer_wise
1,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9699975848197937,2,False,False
2,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9627864360809326,2,False,False
3,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9734295606613159,2,False,False
4,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9496819972991943,2,False,False
5,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9835585355758667,2,False,False
6,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9542408585548401,2,False,False
7,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9835115671157837,2,False,False
8,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9652692079544067,2,False,False
9,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9851909875869751,2,False,False
10,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9785752296447754,2,False,False
11,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9494909048080444,2,False,False
12,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.977086067199707,2,False,False
13,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9384126663208008,2,False,False
14,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9585264921188354,2,False,False
15,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9776860475540161,2,False,False
16,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9853596687316895,2,False,False
17,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9687193632125854,2,False,False
18,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9835925102233887,2,False,False
19,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.953140139579773,2,False,False
20,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9815431237220764,2,False,False
21,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9766991138458252,2,False,False
22,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9528490304946899,2,False,False
23,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9473357200622559,2,False,False
24,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.954753041267395,2,False,False
25,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9901571273803711,2,False,False
26,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9868799448013306,2,False,False
27,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9535994529724121,2,False,False
28,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9843597412109375,2,False,False
29,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9480785727500916,2,False,False
30,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9392373561859131,2,False,False
31,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9684503078460693,2,False,False
32,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9457896947860718,2,False,False
33,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9495669603347778,2,False,False
34,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9491726160049438,2,False,False
35,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9355595111846924,2,False,False
36,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9213494062423706,2,False,False
37,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9562810063362122,2,False,False
38,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9787836074829102,2,False,False
39,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9677903652191162,2,False,False
40,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9017511606216431,2,False,False
41,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9780430793762207,2,False,False
42,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9093968868255615,2,False,False
43,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9724060893058777,2,False,False
44,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9164152145385742,2,False,False
45,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9533951282501221,2,False,False
46,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9599181413650513,2,False,False
47,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9479209780693054,2,False,False
48,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9591745138168335,2,False,False
49,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9538255929946899,2,False,False
50,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.95469731092453,2,False,False
51,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9673450589179993,2,False,False
52,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9721444249153137,2,False,False
53,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9471670389175415,2,False,False
54,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9645479321479797,2,False,False
55,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9639710187911987,2,False,False
56,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9109508395195007,2,False,False
57,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9784226417541504,2,False,False
58,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9352452158927917,2,False,False
59,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9664474725723267,2,False,False
60,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9567371606826782,2,False,False
61,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9047023057937622,2,False,False
62,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9402285814285278,2,False,False
63,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9672440886497498,2,False,False
64,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.976252019405365,2,False,False
65,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9771668910980225,2,False,False
66,3,LungInfection,Inf_Net,normalized_sgd,1.2,0.9666119813919067,2,False,False
