epoch,batch_idx,dataset,model_name,clipping,max_grad_norm,cosine,seed,morphology,retinal_layer_wise
1,10,LungInfection,NestedUNet,automatic,1.2,0.9999445080757141,1,True,False
1,13,LungInfection,NestedUNet,automatic,1.2,0.9994350075721741,1,True,False
2,10,LungInfection,NestedUNet,automatic,1.2,0.9961752891540527,1,True,False
2,13,LungInfection,NestedUNet,automatic,1.2,1.0,1,True,False
3,10,LungInfection,NestedUNet,automatic,1.2,0.9992185831069946,1,True,False
4,10,LungInfection,NestedUNet,automatic,1.2,0.9998569488525391,1,True,False
4,13,LungInfection,NestedUNet,automatic,1.2,0.9996647238731384,1,True,False
5,10,LungInfection,NestedUNet,automatic,1.2,0.9987301230430603,1,True,False
5,13,LungInfection,NestedUNet,automatic,1.2,0.99992436170578,1,True,False
6,10,LungInfection,NestedUNet,automatic,1.2,0.993521511554718,1,True,False
6,13,LungInfection,NestedUNet,automatic,1.2,0.9999885559082031,1,True,False
7,10,LungInfection,NestedUNet,automatic,1.2,0.9990193843841553,1,True,False
7,13,LungInfection,NestedUNet,automatic,1.2,0.9401668310165405,1,True,False
8,10,LungInfection,NestedUNet,automatic,1.2,0.98932945728302,1,True,False
8,13,LungInfection,NestedUNet,automatic,1.2,0.9571366906166077,1,True,False
9,10,LungInfection,NestedUNet,automatic,1.2,0.9964330196380615,1,True,False
9,13,LungInfection,NestedUNet,automatic,1.2,0.9985185861587524,1,True,False
10,10,LungInfection,NestedUNet,automatic,1.2,0.9947934746742249,1,True,False
10,13,LungInfection,NestedUNet,automatic,1.2,0.9626308679580688,1,True,False
11,10,LungInfection,NestedUNet,automatic,1.2,0.9790481328964233,1,True,False
11,13,LungInfection,NestedUNet,automatic,1.2,0.868004322052002,1,True,False
12,10,LungInfection,NestedUNet,automatic,1.2,0.9699512124061584,1,True,False
12,13,LungInfection,NestedUNet,automatic,1.2,0.9626477956771851,1,True,False
13,10,LungInfection,NestedUNet,automatic,1.2,0.970978856086731,1,True,False
13,13,LungInfection,NestedUNet,automatic,1.2,0.9974973201751709,1,True,False
14,10,LungInfection,NestedUNet,automatic,1.2,0.9601149559020996,1,True,False
14,13,LungInfection,NestedUNet,automatic,1.2,0.9999998807907104,1,True,False
15,10,LungInfection,NestedUNet,automatic,1.2,0.9994490146636963,1,True,False
15,13,LungInfection,NestedUNet,automatic,1.2,0.9737393856048584,1,True,False
16,10,LungInfection,NestedUNet,automatic,1.2,0.9857978820800781,1,True,False
16,13,LungInfection,NestedUNet,automatic,1.2,0.9194056987762451,1,True,False
17,10,LungInfection,NestedUNet,automatic,1.2,0.930126428604126,1,True,False
17,13,LungInfection,NestedUNet,automatic,1.2,0.9898426532745361,1,True,False
18,10,LungInfection,NestedUNet,automatic,1.2,0.9969717860221863,1,True,False
18,13,LungInfection,NestedUNet,automatic,1.2,0.9280486106872559,1,True,False
19,10,LungInfection,NestedUNet,automatic,1.2,0.9830808043479919,1,True,False
19,13,LungInfection,NestedUNet,automatic,1.2,0.9556198716163635,1,True,False
20,10,LungInfection,NestedUNet,automatic,1.2,0.891516923904419,1,True,False
20,13,LungInfection,NestedUNet,automatic,1.2,0.884546160697937,1,True,False
21,10,LungInfection,NestedUNet,automatic,1.2,1.0,1,True,False
21,13,LungInfection,NestedUNet,automatic,1.2,0.9703643321990967,1,True,False
22,10,LungInfection,NestedUNet,automatic,1.2,0.8568660020828247,1,True,False
22,13,LungInfection,NestedUNet,automatic,1.2,0.9642122983932495,1,True,False
23,10,LungInfection,NestedUNet,automatic,1.2,0.919055700302124,1,True,False
23,13,LungInfection,NestedUNet,automatic,1.2,0.9991644024848938,1,True,False
24,10,LungInfection,NestedUNet,automatic,1.2,0.985783040523529,1,True,False
24,13,LungInfection,NestedUNet,automatic,1.2,0.9594308137893677,1,True,False
25,10,LungInfection,NestedUNet,automatic,1.2,0.9630880355834961,1,True,False
25,13,LungInfection,NestedUNet,automatic,1.2,0.9463478922843933,1,True,False
26,10,LungInfection,NestedUNet,automatic,1.2,0.97613924741745,1,True,False
26,13,LungInfection,NestedUNet,automatic,1.2,0.9615257978439331,1,True,False
27,10,LungInfection,NestedUNet,automatic,1.2,0.9786015152931213,1,True,False
27,13,LungInfection,NestedUNet,automatic,1.2,0.9198426008224487,1,True,False
28,10,LungInfection,NestedUNet,automatic,1.2,0.9920964241027832,1,True,False
28,13,LungInfection,NestedUNet,automatic,1.2,0.9934762716293335,1,True,False
29,10,LungInfection,NestedUNet,automatic,1.2,0.7899459600448608,1,True,False
29,13,LungInfection,NestedUNet,automatic,1.2,0.7937831282615662,1,True,False
30,10,LungInfection,NestedUNet,automatic,1.2,0.9508019089698792,1,True,False
30,13,LungInfection,NestedUNet,automatic,1.2,0.8441423177719116,1,True,False
31,10,LungInfection,NestedUNet,automatic,1.2,0.9914276599884033,1,True,False
31,13,LungInfection,NestedUNet,automatic,1.2,0.9711631536483765,1,True,False
32,10,LungInfection,NestedUNet,automatic,1.2,0.9634811878204346,1,True,False
32,13,LungInfection,NestedUNet,automatic,1.2,0.9983752369880676,1,True,False
33,10,LungInfection,NestedUNet,automatic,1.2,0.9898900985717773,1,True,False
