epoch,batch_idx,dataset,model_name,clipping,max_grad_norm,cosine,seed,morphology,retinal_layer_wise
1,10,LungInfection,NestedUNet,automatic,1.2,0.9987631440162659,2,False,False
1,13,LungInfection,NestedUNet,automatic,1.2,0.9654695987701416,2,False,False
2,10,LungInfection,NestedUNet,automatic,1.2,0.9815921783447266,2,False,False
2,13,LungInfection,NestedUNet,automatic,1.2,0.9625680446624756,2,False,False
3,10,LungInfection,NestedUNet,automatic,1.2,0.9883377552032471,2,False,False
3,13,LungInfection,NestedUNet,automatic,1.2,0.9851638078689575,2,False,False
4,10,LungInfection,NestedUNet,automatic,1.2,0.9766950011253357,2,False,False
4,13,LungInfection,NestedUNet,automatic,1.2,0.9904230833053589,2,False,False
5,10,LungInfection,NestedUNet,automatic,1.2,0.9999065399169922,2,False,False
5,13,LungInfection,NestedUNet,automatic,1.2,0.883530855178833,2,False,False
6,10,LungInfection,NestedUNet,automatic,1.2,0.996543288230896,2,False,False
6,13,LungInfection,NestedUNet,automatic,1.2,0.9971975684165955,2,False,False
7,10,LungInfection,NestedUNet,automatic,1.2,1.0,2,False,False
7,13,LungInfection,NestedUNet,automatic,1.2,0.9867962598800659,2,False,False
8,10,LungInfection,NestedUNet,automatic,1.2,0.9959961175918579,2,False,False
8,13,LungInfection,NestedUNet,automatic,1.2,0.9539238214492798,2,False,False
9,10,LungInfection,NestedUNet,automatic,1.2,0.9985288977622986,2,False,False
9,13,LungInfection,NestedUNet,automatic,1.2,0.9594374895095825,2,False,False
10,10,LungInfection,NestedUNet,automatic,1.2,0.9397425055503845,2,False,False
10,13,LungInfection,NestedUNet,automatic,1.2,0.9992679357528687,2,False,False
11,10,LungInfection,NestedUNet,automatic,1.2,0.9814245700836182,2,False,False
11,13,LungInfection,NestedUNet,automatic,1.2,0.9928075671195984,2,False,False
12,10,LungInfection,NestedUNet,automatic,1.2,0.9939258694648743,2,False,False
12,13,LungInfection,NestedUNet,automatic,1.2,0.9672861695289612,2,False,False
13,10,LungInfection,NestedUNet,automatic,1.2,1.0000001192092896,2,False,False
13,13,LungInfection,NestedUNet,automatic,1.2,0.988959550857544,2,False,False
14,10,LungInfection,NestedUNet,automatic,1.2,0.9931226968765259,2,False,False
14,13,LungInfection,NestedUNet,automatic,1.2,0.886928141117096,2,False,False
15,10,LungInfection,NestedUNet,automatic,1.2,0.8807737827301025,2,False,False
15,13,LungInfection,NestedUNet,automatic,1.2,0.9999999403953552,2,False,False
16,10,LungInfection,NestedUNet,automatic,1.2,0.9203569889068604,2,False,False
16,13,LungInfection,NestedUNet,automatic,1.2,0.9958348274230957,2,False,False
17,10,LungInfection,NestedUNet,automatic,1.2,0.9970144033432007,2,False,False
17,13,LungInfection,NestedUNet,automatic,1.2,0.8918243646621704,2,False,False
18,10,LungInfection,NestedUNet,automatic,1.2,0.9931985139846802,2,False,False
18,13,LungInfection,NestedUNet,automatic,1.2,0.9914268255233765,2,False,False
19,10,LungInfection,NestedUNet,automatic,1.2,0.8926723003387451,2,False,False
19,13,LungInfection,NestedUNet,automatic,1.2,0.9395266771316528,2,False,False
20,10,LungInfection,NestedUNet,automatic,1.2,0.9836207628250122,2,False,False
20,13,LungInfection,NestedUNet,automatic,1.2,0.6563262939453125,2,False,False
21,10,LungInfection,NestedUNet,automatic,1.2,0.9690870642662048,2,False,False
21,13,LungInfection,NestedUNet,automatic,1.2,1.0,2,False,False
22,10,LungInfection,NestedUNet,automatic,1.2,0.9450680613517761,2,False,False
22,13,LungInfection,NestedUNet,automatic,1.2,0.9943062663078308,2,False,False
23,10,LungInfection,NestedUNet,automatic,1.2,0.9752867221832275,2,False,False
23,13,LungInfection,NestedUNet,automatic,1.2,0.9996093511581421,2,False,False
24,10,LungInfection,NestedUNet,automatic,1.2,0.9999999403953552,2,False,False
24,13,LungInfection,NestedUNet,automatic,1.2,0.9119490385055542,2,False,False
25,10,LungInfection,NestedUNet,automatic,1.2,0.8988149762153625,2,False,False
25,13,LungInfection,NestedUNet,automatic,1.2,0.9509727954864502,2,False,False
26,10,LungInfection,NestedUNet,automatic,1.2,0.9829983711242676,2,False,False
26,13,LungInfection,NestedUNet,automatic,1.2,0.9618521332740784,2,False,False
27,10,LungInfection,NestedUNet,automatic,1.2,0.750900387763977,2,False,False
27,13,LungInfection,NestedUNet,automatic,1.2,0.9886708855628967,2,False,False
28,13,LungInfection,NestedUNet,automatic,1.2,0.9979398250579834,2,False,False
29,13,LungInfection,NestedUNet,automatic,1.2,0.9411177635192871,2,False,False
30,10,LungInfection,NestedUNet,automatic,1.2,0.9964300990104675,2,False,False
30,13,LungInfection,NestedUNet,automatic,1.2,0.9562104940414429,2,False,False
31,10,LungInfection,NestedUNet,automatic,1.2,0.9151840806007385,2,False,False
31,13,LungInfection,NestedUNet,automatic,1.2,0.8999294638633728,2,False,False
32,10,LungInfection,NestedUNet,automatic,1.2,0.8239805698394775,2,False,False
32,13,LungInfection,NestedUNet,automatic,1.2,0.7690144777297974,2,False,False
33,10,LungInfection,NestedUNet,automatic,1.2,0.5566205382347107,2,False,False
33,13,LungInfection,NestedUNet,automatic,1.2,0.9831526875495911,2,False,False
34,10,LungInfection,NestedUNet,automatic,1.2,0.768310010433197,2,False,False
34,13,LungInfection,NestedUNet,automatic,1.2,0.9999999403953552,2,False,False
35,10,LungInfection,NestedUNet,automatic,1.2,0.9996647834777832,2,False,False
35,13,LungInfection,NestedUNet,automatic,1.2,0.8760477304458618,2,False,False
36,10,LungInfection,NestedUNet,automatic,1.2,0.9508143663406372,2,False,False
36,13,LungInfection,NestedUNet,automatic,1.2,0.9225265979766846,2,False,False
37,10,LungInfection,NestedUNet,automatic,1.2,0.9837535619735718,2,False,False
37,13,LungInfection,NestedUNet,automatic,1.2,0.7706377506256104,2,False,False
38,10,LungInfection,NestedUNet,automatic,1.2,0.8486641645431519,2,False,False
38,13,LungInfection,NestedUNet,automatic,1.2,0.9850614070892334,2,False,False
39,10,LungInfection,NestedUNet,automatic,1.2,0.9753087759017944,2,False,False
39,13,LungInfection,NestedUNet,automatic,1.2,0.0801907330751419,2,False,False
40,10,LungInfection,NestedUNet,automatic,1.2,0.8980748653411865,2,False,False
40,13,LungInfection,NestedUNet,automatic,1.2,0.8088763952255249,2,False,False
41,10,LungInfection,NestedUNet,automatic,1.2,0.9427464008331299,2,False,False
41,13,LungInfection,NestedUNet,automatic,1.2,0.9053714871406555,2,False,False
42,10,LungInfection,NestedUNet,automatic,1.2,0.856766402721405,2,False,False
42,13,LungInfection,NestedUNet,automatic,1.2,0.9988731145858765,2,False,False
43,10,LungInfection,NestedUNet,automatic,1.2,0.9351764917373657,2,False,False
43,13,LungInfection,NestedUNet,automatic,1.2,0.8590395450592041,2,False,False
44,10,LungInfection,NestedUNet,automatic,1.2,0.9802966117858887,2,False,False
44,13,LungInfection,NestedUNet,automatic,1.2,0.9515054821968079,2,False,False
45,10,LungInfection,NestedUNet,automatic,1.2,0.9686514139175415,2,False,False
45,13,LungInfection,NestedUNet,automatic,1.2,0.4243699014186859,2,False,False
46,10,LungInfection,NestedUNet,automatic,1.2,0.9555323719978333,2,False,False
46,13,LungInfection,NestedUNet,automatic,1.2,1.0,2,False,False
47,10,LungInfection,NestedUNet,automatic,1.2,0.9564624428749084,2,False,False
47,13,LungInfection,NestedUNet,automatic,1.2,0.9690462350845337,2,False,False
48,10,LungInfection,NestedUNet,automatic,1.2,0.8557275533676147,2,False,False
48,13,LungInfection,NestedUNet,automatic,1.2,0.255717396736145,2,False,False
49,10,LungInfection,NestedUNet,automatic,1.2,0.9999998807907104,2,False,False
49,13,LungInfection,NestedUNet,automatic,1.2,0.9436892867088318,2,False,False
50,10,LungInfection,NestedUNet,automatic,1.2,0.7995209693908691,2,False,False
50,13,LungInfection,NestedUNet,automatic,1.2,0.9741635918617249,2,False,False
51,10,LungInfection,NestedUNet,automatic,1.2,0.9093563556671143,2,False,False
51,13,LungInfection,NestedUNet,automatic,1.2,0.9782721996307373,2,False,False
52,10,LungInfection,NestedUNet,automatic,1.2,0.999789297580719,2,False,False
52,13,LungInfection,NestedUNet,automatic,1.2,0.9528734683990479,2,False,False
53,10,LungInfection,NestedUNet,automatic,1.2,0.24757389724254608,2,False,False
53,13,LungInfection,NestedUNet,automatic,1.2,0.9358252286911011,2,False,False
54,10,LungInfection,NestedUNet,automatic,1.2,0.9077147841453552,2,False,False
54,13,LungInfection,NestedUNet,automatic,1.2,0.9876424670219421,2,False,False
55,10,LungInfection,NestedUNet,automatic,1.2,0.9781579375267029,2,False,False
55,13,LungInfection,NestedUNet,automatic,1.2,0.9999999403953552,2,False,False
