epoch,batch_idx,dataset,model_name,clipping,max_grad_norm,cosine,seed,morphology,retinal_layer_wise
1,10,LungInfection,NestedUNet,automatic,1.2,0.9820371270179749,2,True,False
1,13,LungInfection,NestedUNet,automatic,1.2,0.9999254941940308,2,True,False
2,10,LungInfection,NestedUNet,automatic,1.2,0.99760901927948,2,True,False
2,13,LungInfection,NestedUNet,automatic,1.2,0.9960423111915588,2,True,False
3,10,LungInfection,NestedUNet,automatic,1.2,0.9929943084716797,2,True,False
3,13,LungInfection,NestedUNet,automatic,1.2,0.9999871253967285,2,True,False
4,10,LungInfection,NestedUNet,automatic,1.2,0.9399760365486145,2,True,False
4,13,LungInfection,NestedUNet,automatic,1.2,0.9980849027633667,2,True,False
5,10,LungInfection,NestedUNet,automatic,1.2,0.9753161668777466,2,True,False
5,13,LungInfection,NestedUNet,automatic,1.2,0.9958065152168274,2,True,False
6,10,LungInfection,NestedUNet,automatic,1.2,0.9984143376350403,2,True,False
6,13,LungInfection,NestedUNet,automatic,1.2,0.9919973015785217,2,True,False
7,10,LungInfection,NestedUNet,automatic,1.2,0.9991128444671631,2,True,False
7,13,LungInfection,NestedUNet,automatic,1.2,0.9326492547988892,2,True,False
8,10,LungInfection,NestedUNet,automatic,1.2,0.9955404996871948,2,True,False
8,13,LungInfection,NestedUNet,automatic,1.2,0.9967237710952759,2,True,False
9,10,LungInfection,NestedUNet,automatic,1.2,0.9917392134666443,2,True,False
9,13,LungInfection,NestedUNet,automatic,1.2,0.9969162940979004,2,True,False
10,10,LungInfection,NestedUNet,automatic,1.2,1.0,2,True,False
10,13,LungInfection,NestedUNet,automatic,1.2,0.996819257736206,2,True,False
11,10,LungInfection,NestedUNet,automatic,1.2,0.9971075057983398,2,True,False
11,13,LungInfection,NestedUNet,automatic,1.2,0.9085716009140015,2,True,False
12,10,LungInfection,NestedUNet,automatic,1.2,0.9973751306533813,2,True,False
12,13,LungInfection,NestedUNet,automatic,1.2,0.9917869567871094,2,True,False
13,10,LungInfection,NestedUNet,automatic,1.2,0.9999971985816956,2,True,False
13,13,LungInfection,NestedUNet,automatic,1.2,1.0,2,True,False
14,10,LungInfection,NestedUNet,automatic,1.2,0.9998048543930054,2,True,False
14,13,LungInfection,NestedUNet,automatic,1.2,0.9831624627113342,2,True,False
15,10,LungInfection,NestedUNet,automatic,1.2,0.8487040996551514,2,True,False
15,13,LungInfection,NestedUNet,automatic,1.2,0.9524195194244385,2,True,False
16,10,LungInfection,NestedUNet,automatic,1.2,0.9815040826797485,2,True,False
16,13,LungInfection,NestedUNet,automatic,1.2,0.9644098281860352,2,True,False
17,10,LungInfection,NestedUNet,automatic,1.2,0.983174741268158,2,True,False
17,13,LungInfection,NestedUNet,automatic,1.2,1.0,2,True,False
18,10,LungInfection,NestedUNet,automatic,1.2,0.9978951215744019,2,True,False
18,13,LungInfection,NestedUNet,automatic,1.2,0.9944217205047607,2,True,False
19,10,LungInfection,NestedUNet,automatic,1.2,0.977256178855896,2,True,False
19,13,LungInfection,NestedUNet,automatic,1.2,0.9968093037605286,2,True,False
20,10,LungInfection,NestedUNet,automatic,1.2,0.9741052389144897,2,True,False
20,13,LungInfection,NestedUNet,automatic,1.2,0.9961456060409546,2,True,False
21,10,LungInfection,NestedUNet,automatic,1.2,0.9762890934944153,2,True,False
21,13,LungInfection,NestedUNet,automatic,1.2,0.9364529848098755,2,True,False
22,10,LungInfection,NestedUNet,automatic,1.2,0.971624493598938,2,True,False
22,13,LungInfection,NestedUNet,automatic,1.2,0.9983449578285217,2,True,False
23,10,LungInfection,NestedUNet,automatic,1.2,0.9990061521530151,2,True,False
23,13,LungInfection,NestedUNet,automatic,1.2,0.9580135345458984,2,True,False
24,10,LungInfection,NestedUNet,automatic,1.2,0.8793747425079346,2,True,False
24,13,LungInfection,NestedUNet,automatic,1.2,0.9928292036056519,2,True,False
25,10,LungInfection,NestedUNet,automatic,1.2,0.8814262747764587,2,True,False
25,13,LungInfection,NestedUNet,automatic,1.2,0.9483422636985779,2,True,False
26,10,LungInfection,NestedUNet,automatic,1.2,0.9403210282325745,2,True,False
26,13,LungInfection,NestedUNet,automatic,1.2,0.9892613887786865,2,True,False
27,10,LungInfection,NestedUNet,automatic,1.2,0.9219303727149963,2,True,False
27,13,LungInfection,NestedUNet,automatic,1.2,0.9846093058586121,2,True,False
28,10,LungInfection,NestedUNet,automatic,1.2,0.9999999403953552,2,True,False
29,10,LungInfection,NestedUNet,automatic,1.2,0.9374154806137085,2,True,False
29,13,LungInfection,NestedUNet,automatic,1.2,0.9783497452735901,2,True,False
30,10,LungInfection,NestedUNet,automatic,1.2,0.997763991355896,2,True,False
30,13,LungInfection,NestedUNet,automatic,1.2,0.9841816425323486,2,True,False
31,10,LungInfection,NestedUNet,automatic,1.2,1.0,2,True,False
31,13,LungInfection,NestedUNet,automatic,1.2,0.7264288663864136,2,True,False
32,10,LungInfection,NestedUNet,automatic,1.2,0.9991635680198669,2,True,False
32,13,LungInfection,NestedUNet,automatic,1.2,0.9734916090965271,2,True,False
33,10,LungInfection,NestedUNet,automatic,1.2,1.0,2,True,False
33,13,LungInfection,NestedUNet,automatic,1.2,0.9154946804046631,2,True,False
34,10,LungInfection,NestedUNet,automatic,1.2,0.8962529897689819,2,True,False
34,13,LungInfection,NestedUNet,automatic,1.2,0.9818198680877686,2,True,False
35,10,LungInfection,NestedUNet,automatic,1.2,0.9939391016960144,2,True,False
35,13,LungInfection,NestedUNet,automatic,1.2,0.9689772129058838,2,True,False
36,10,LungInfection,NestedUNet,automatic,1.2,0.8840330243110657,2,True,False
36,13,LungInfection,NestedUNet,automatic,1.2,0.9633516073226929,2,True,False
37,10,LungInfection,NestedUNet,automatic,1.2,0.9906154274940491,2,True,False
37,13,LungInfection,NestedUNet,automatic,1.2,0.8650103807449341,2,True,False
38,10,LungInfection,NestedUNet,automatic,1.2,0.8583121299743652,2,True,False
38,13,LungInfection,NestedUNet,automatic,1.2,0.8236128091812134,2,True,False
39,10,LungInfection,NestedUNet,automatic,1.2,1.0,2,True,False
39,13,LungInfection,NestedUNet,automatic,1.2,0.8684058785438538,2,True,False
40,10,LungInfection,NestedUNet,automatic,1.2,0.9996322989463806,2,True,False
40,13,LungInfection,NestedUNet,automatic,1.2,0.9564895629882812,2,True,False
41,10,LungInfection,NestedUNet,automatic,1.2,0.9007769227027893,2,True,False
41,13,LungInfection,NestedUNet,automatic,1.2,0.9386268854141235,2,True,False
