epoch,batch_idx,dataset,model_name,clipping,max_grad_norm,cosine,seed,morphology,retinal_layer_wise
1,10,LungInfection,NestedUNet,flat,1.2,0.9999381899833679,1,False,False
1,13,LungInfection,NestedUNet,flat,1.2,0.9997602105140686,1,False,False
2,10,LungInfection,NestedUNet,flat,1.2,0.9999971389770508,1,False,False
2,13,LungInfection,NestedUNet,flat,1.2,0.9992573857307434,1,False,False
3,10,LungInfection,NestedUNet,flat,1.2,0.993608832359314,1,False,False
3,13,LungInfection,NestedUNet,flat,1.2,0.9931745529174805,1,False,False
4,10,LungInfection,NestedUNet,flat,1.2,1.0,1,False,False
4,13,LungInfection,NestedUNet,flat,1.2,0.9988162517547607,1,False,False
5,10,LungInfection,NestedUNet,flat,1.2,0.9813841581344604,1,False,False
5,13,LungInfection,NestedUNet,flat,1.2,0.964751124382019,1,False,False
6,10,LungInfection,NestedUNet,flat,1.2,0.9973485469818115,1,False,False
6,13,LungInfection,NestedUNet,flat,1.2,0.9991081357002258,1,False,False
7,10,LungInfection,NestedUNet,flat,1.2,0.9989495277404785,1,False,False
7,13,LungInfection,NestedUNet,flat,1.2,0.990170955657959,1,False,False
8,10,LungInfection,NestedUNet,flat,1.2,0.9931617975234985,1,False,False
8,13,LungInfection,NestedUNet,flat,1.2,0.9979109764099121,1,False,False
9,10,LungInfection,NestedUNet,flat,1.2,1.0,1,False,False
9,13,LungInfection,NestedUNet,flat,1.2,0.9754730463027954,1,False,False
10,10,LungInfection,NestedUNet,flat,1.2,0.9949998259544373,1,False,False
10,13,LungInfection,NestedUNet,flat,1.2,0.9969704747200012,1,False,False
11,10,LungInfection,NestedUNet,flat,1.2,0.9838987588882446,1,False,False
11,13,LungInfection,NestedUNet,flat,1.2,0.9552725553512573,1,False,False
12,10,LungInfection,NestedUNet,flat,1.2,0.9805536270141602,1,False,False
12,13,LungInfection,NestedUNet,flat,1.2,0.980135440826416,1,False,False
13,10,LungInfection,NestedUNet,flat,1.2,0.9900966882705688,1,False,False
13,13,LungInfection,NestedUNet,flat,1.2,0.9315881729125977,1,False,False
14,10,LungInfection,NestedUNet,flat,1.2,0.8948766589164734,1,False,False
14,13,LungInfection,NestedUNet,flat,1.2,0.979421079158783,1,False,False
15,10,LungInfection,NestedUNet,flat,1.2,0.8880499005317688,1,False,False
15,13,LungInfection,NestedUNet,flat,1.2,0.9413235187530518,1,False,False
16,10,LungInfection,NestedUNet,flat,1.2,0.9963769912719727,1,False,False
16,13,LungInfection,NestedUNet,flat,1.2,0.9960642457008362,1,False,False
17,10,LungInfection,NestedUNet,flat,1.2,0.8435542583465576,1,False,False
17,13,LungInfection,NestedUNet,flat,1.2,0.9999986290931702,1,False,False
18,10,LungInfection,NestedUNet,flat,1.2,0.9975715279579163,1,False,False
18,13,LungInfection,NestedUNet,flat,1.2,0.9695541858673096,1,False,False
19,10,LungInfection,NestedUNet,flat,1.2,0.9687981605529785,1,False,False
19,13,LungInfection,NestedUNet,flat,1.2,0.8727967739105225,1,False,False
20,10,LungInfection,NestedUNet,flat,1.2,0.925178050994873,1,False,False
20,13,LungInfection,NestedUNet,flat,1.2,0.9791433811187744,1,False,False
