epoch,batch_idx,dataset,model_name,clipping,max_grad_norm,cosine,seed,morphology,retinal_layer_wise
1,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9975929260253906,1,False,False
1,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9939100742340088,1,False,False
2,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9997367858886719,1,False,False
2,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9999051094055176,1,False,False
3,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9986443519592285,1,False,False
3,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9972503185272217,1,False,False
4,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9997296929359436,1,False,False
4,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9902526140213013,1,False,False
5,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9994512796401978,1,False,False
5,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9859443306922913,1,False,False
6,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9815659523010254,1,False,False
7,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9895668029785156,1,False,False
7,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9969767928123474,1,False,False
8,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9991928339004517,1,False,False
8,13,LungInfection,NestedUNet,normalized_sgd,1.2,1.0,1,False,False
9,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9952182769775391,1,False,False
9,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.7636001110076904,1,False,False
10,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9962072372436523,1,False,False
10,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9971928596496582,1,False,False
11,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9845899343490601,1,False,False
11,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9978532791137695,1,False,False
12,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9947389960289001,1,False,False
12,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9751635789871216,1,False,False
13,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9632854461669922,1,False,False
13,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9732953310012817,1,False,False
14,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9995862245559692,1,False,False
14,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9897729158401489,1,False,False
15,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9999999403953552,1,False,False
15,13,LungInfection,NestedUNet,normalized_sgd,1.2,1.0000001192092896,1,False,False
16,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9957383871078491,1,False,False
16,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9401904344558716,1,False,False
17,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9992419481277466,1,False,False
17,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9784260392189026,1,False,False
18,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.997081995010376,1,False,False
18,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9750899076461792,1,False,False
19,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9586091041564941,1,False,False
19,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.976017415523529,1,False,False
20,10,LungInfection,NestedUNet,normalized_sgd,1.2,1.0,1,False,False
20,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9507895112037659,1,False,False
21,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9500977396965027,1,False,False
21,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9022914171218872,1,False,False
22,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.8675615787506104,1,False,False
22,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9334205985069275,1,False,False
23,10,LungInfection,NestedUNet,normalized_sgd,1.2,1.0,1,False,False
23,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9627187252044678,1,False,False
24,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9426265954971313,1,False,False
24,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.8158566951751709,1,False,False
25,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9995951652526855,1,False,False
25,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9995992183685303,1,False,False
26,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9862646460533142,1,False,False
26,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9866963624954224,1,False,False
27,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9623162746429443,1,False,False
27,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9633359313011169,1,False,False
28,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.8531452417373657,1,False,False
28,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.976413905620575,1,False,False
29,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9123829007148743,1,False,False
29,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9547604918479919,1,False,False
30,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9988319277763367,1,False,False
31,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9708768725395203,1,False,False
31,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9869071841239929,1,False,False
32,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.8064576983451843,1,False,False
32,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9999563694000244,1,False,False
33,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9040130376815796,1,False,False
33,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9902523756027222,1,False,False
34,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9571443796157837,1,False,False
34,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9912380576133728,1,False,False
35,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.832510232925415,1,False,False
35,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9984809160232544,1,False,False
36,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9932297468185425,1,False,False
36,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9965909123420715,1,False,False
37,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9799283742904663,1,False,False
37,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9908707141876221,1,False,False
38,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9404131770133972,1,False,False
38,13,LungInfection,NestedUNet,normalized_sgd,1.2,1.0000001192092896,1,False,False
39,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.8368629217147827,1,False,False
39,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.8976684808731079,1,False,False
40,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9208765625953674,1,False,False
40,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9519466757774353,1,False,False
41,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9417943954467773,1,False,False
41,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9354158043861389,1,False,False
42,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9152909517288208,1,False,False
42,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.8712683320045471,1,False,False
43,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.8675764203071594,1,False,False
43,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9999929070472717,1,False,False
44,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9555767178535461,1,False,False
44,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9188649654388428,1,False,False
45,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.7496432065963745,1,False,False
45,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9208537340164185,1,False,False
46,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9268490672111511,1,False,False
46,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9477699995040894,1,False,False
47,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9108543992042542,1,False,False
47,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9311656951904297,1,False,False
48,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.8129023909568787,1,False,False
48,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.6115071773529053,1,False,False
49,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9890401363372803,1,False,False
49,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9722499251365662,1,False,False
50,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.8019291162490845,1,False,False
50,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9986447095870972,1,False,False
51,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9367363452911377,1,False,False
51,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.8500961661338806,1,False,False
52,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.7773452997207642,1,False,False
52,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9805044531822205,1,False,False
53,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.8870052099227905,1,False,False
53,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9850414991378784,1,False,False
54,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.8499417901039124,1,False,False
54,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9605411291122437,1,False,False
55,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9831211566925049,1,False,False
55,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9447738528251648,1,False,False
56,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.8518017530441284,1,False,False
56,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9705896377563477,1,False,False
57,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.5933758020401001,1,False,False
57,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.8866050243377686,1,False,False
58,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9926719069480896,1,False,False
58,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.8312920928001404,1,False,False
59,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9375981688499451,1,False,False
59,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9872822761535645,1,False,False
60,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.761796236038208,1,False,False
60,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9978527426719666,1,False,False
61,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9340453147888184,1,False,False
61,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.7380532622337341,1,False,False
62,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9937043190002441,1,False,False
62,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9373818635940552,1,False,False
63,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9070665836334229,1,False,False
64,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9588750600814819,1,False,False
64,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.6784299612045288,1,False,False
65,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9249362945556641,1,False,False
65,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.8750516176223755,1,False,False
66,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9202231168746948,1,False,False
66,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9321481585502625,1,False,False
67,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9898871183395386,1,False,False
67,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9431802034378052,1,False,False
68,10,LungInfection,NestedUNet,normalized_sgd,1.2,1.0,1,False,False
68,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.903286337852478,1,False,False
69,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9850306510925293,1,False,False
69,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.8905321359634399,1,False,False
70,10,LungInfection,NestedUNet,normalized_sgd,1.2,0.9624859690666199,1,False,False
70,13,LungInfection,NestedUNet,normalized_sgd,1.2,0.9544220566749573,1,False,False
